drugbank_id,name,smiles_canonical,image_path
DB00438,Ceftazidime,CC(C)(O/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CS[C@H]12)c1csc(N)n1)C(=O)O,drug_embeddings_by_freq\drug_images\DB00438.png
DB00439,Cerivastatin,COCc1c(C(C)C)nc(C(C)C)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)c1-c1ccc(F)cc1,drug_embeddings_by_freq\drug_images\DB00439.png
DB00440,Trimethoprim,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,drug_embeddings_by_freq\drug_images\DB00440.png
DB00441,Gemcitabine,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,drug_embeddings_by_freq\drug_images\DB00441.png
DB00442,Entecavir,C=C1[C@H](CO)[C@@H](O)C[C@@H]1n1cnc2c(=O)nc(N)[nH]c21,drug_embeddings_by_freq\drug_images\DB00442.png
DB00444,Teniposide,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](c6cccs6)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,drug_embeddings_by_freq\drug_images\DB00444.png
DB00445,Epirubicin,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1,drug_embeddings_by_freq\drug_images\DB00445.png
DB00448,Lansoprazole,Cc1c(OCC(F)(F)F)ccnc1CS(=O)c1nc2ccccc2[nH]1,drug_embeddings_by_freq\drug_images\DB00448.png
DB00455,Loratadine,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,drug_embeddings_by_freq\drug_images\DB00455.png
DB00457,Prazosin,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,drug_embeddings_by_freq\drug_images\DB00457.png
DB00458,Imipramine,CN(C)CCCN1c2ccccc2CCc2ccccc21,drug_embeddings_by_freq\drug_images\DB00458.png
DB00459,Acitretin,COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C,drug_embeddings_by_freq\drug_images\DB00459.png
DB00461,Nabumetone,COc1ccc2cc(CCC(C)=O)ccc2c1,drug_embeddings_by_freq\drug_images\DB00461.png
DB00465,Ketorolac,O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O,drug_embeddings_by_freq\drug_images\DB00465.png
DB00471,Montelukast,CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,drug_embeddings_by_freq\drug_images\DB00471.png
DB00472,Fluoxetine,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,drug_embeddings_by_freq\drug_images\DB00472.png
DB00476,Duloxetine,CNCC[C@H](Oc1cccc2ccccc12)c1cccs1,drug_embeddings_by_freq\drug_images\DB00476.png
DB00478,Rimantadine,CC(N)C12CC3CC(CC(C3)C1)C2,drug_embeddings_by_freq\drug_images\DB00478.png
DB00480,Lenalidomide,Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,drug_embeddings_by_freq\drug_images\DB00480.png
DB00481,Raloxifene,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,drug_embeddings_by_freq\drug_images\DB00481.png
DB00482,Celecoxib,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,drug_embeddings_by_freq\drug_images\DB00482.png
DB00484,Brimonidine,Brc1c(NC2=NCCN2)ccc2nccnc12,drug_embeddings_by_freq\drug_images\DB00484.png
